congress,bill_type,bill_number,bill_id,title,status,status_date,policy_area,passed
110,HR,2,HR2-110,Fair Minimum Wage Act of 2007,Passed Senate with an amendment by Yea-Nay Vote. 94 - 3. Record Vote Number: 42. (text: CR S1500-1511),2007-02-01,Labor and Employment,0
110,HR,25,HR25-110,Fair Tax Act of 2007,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,33,HR33-110,Minimum Wage Fairness Act of 2007,Referred to the Subcommittee on Workforce Protections.,2007-05-09,Labor and Employment,0
110,HR,36,HR36-110,National Science Education Tax Incentive for Teachers Act of 2007,Sponsor introductory remarks on measure. (CR E33),2007-01-05,Taxation,0
110,HR,37,HR37-110,National Science Education Tax Incentive for Businesses Act of 2007,Sponsor introductory remarks on measure. (CR E33),2007-01-05,Taxation,0
110,HR,41,HR41-110,Business Checking Fairness Act of 2007,Referred to the House Committee on Financial Services.,2007-01-04,Finance and Financial Sector,0
110,HR,46,HR46-110,Small Business Tax Fairness and Simplification Act of 2007,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,52,HR52-110,To amend the Internal Revenue Code of 1986 to repeal the cap on the cover over of tax on distilled spirits to Puerto Rico and the Virgin Islands.,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,60,HR60-110,To amend the Internal Revenue Code of 1986 to make permanent the deduction of State and local general sales taxes.,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,76,HR76-110,To amend the Internal Revenue Code of 1986 to increase the number vehicles for which the alternative motor vehicle credit is allowed.,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,77,HR77-110,To amend the Internal Revenue Code of 1986 to change the deadline for income tax returns for calendar year taxpayers from the 15th of April to the first Monday in November.,Referred to the House Committee on Ways and Means.,2007-01-04,Taxation,0
110,HR,108,HR108-110,National Small Business Regulatory Assistance Act of 2007,Referred to the House Committee on Small Business.,2007-01-04,Commerce,0
