model,held_out_congress,n_test,n_test_positive,auc,accuracy,f1
Logistic,110,284,22,0.8913948646773074,0.897887323943662,0.4727272727272727
LASSO,110,284,22,0.9210617626648161,0.9330985915492958,0.5777777777777777
Ridge,110,284,22,0.9099583622484386,0.926056338028169,0.5333333333333333
Random Forest,110,284,22,0.9641741845940319,0.9225352112676056,0.0
Logistic,111,240,24,0.9378858024691359,0.9041666666666667,0.5818181818181818
LASSO,111,240,24,0.9320987654320988,0.925,0.5263157894736842
Ridge,111,240,24,0.9245756172839505,0.9333333333333333,0.5294117647058824
Random Forest,111,240,24,0.9454089506172839,0.9041666666666667,0.08
Logistic,112,334,15,0.947544409613375,0.9311377245508982,0.43902439024390244
LASSO,112,334,15,0.9573667711598747,0.937125748502994,0.5116279069767442
Ridge,112,334,15,0.9573667711598746,0.9550898203592815,0.4827586206896552
Random Forest,112,334,15,0.9886102403343783,0.9550898203592815,0.11764705882352941
Logistic,113,133,9,0.8405017921146953,0.849624060150376,0.3333333333333333
LASSO,113,133,9,0.7634408602150538,0.849624060150376,0.2857142857142857
Ridge,113,133,9,0.9032258064516129,0.9323308270676691,0.4
Random Forest,113,133,9,0.8808243727598566,0.9398496240601504,0.2
Logistic,114,129,6,0.8319783197831979,0.7906976744186046,0.22857142857142856
LASSO,114,129,6,0.8089430894308943,0.8294573643410853,0.21428571428571427
Ridge,114,129,6,0.8509485094850948,0.8992248062015504,0.23529411764705882
Random Forest,114,129,6,0.9214092140921409,0.9534883720930233,0.0
