feature,importance
proceed,0.034891775360234335
unanimous,0.030034541665471415
suspend,0.027100398348606447
consent,0.022276966540791972
senate,0.020897773867680165
pass,0.016227609323625068
motion,0.014655713447378059
extension,0.014226472730174545
ask,0.01250424895670639
gentleman,0.011707885099992972
president,0.01135016436202393
extend,0.010798609330761044
consideration,0.009554718746694507
r,0.009539817899280345
rules,0.009406645133770883
immediate,0.00937779348250489
question,0.00917998793839812
offered,0.009117585923068994
signed,0.008520452201599969
h,0.008448433452235955
programs,0.008203526431511447
received,0.0078008163176511835
house,0.0077529734771115775
following,0.007415725901943856
amended,0.00723941518462696
speaker,0.007003662304978573
consume,0.00690657225125975
yield,0.00657303784494866
support,0.006419271089587208
rule,0.00636771384873759
